courseNumber;matnr
5000130;5722963
5000130;5722689
5000130;5722686
5000130;5722685
5000130;5722684
5000130;5722683
5000130;5722680
5000130;5722679
5000130;5722677
5000130;5722676
5000130;5722675
5000130;5722674
5000130;5722673
5000130;5722671
5000130;5722667
5000130;5722665
5000130;5722662
5000130;5722661
5000130;5722660
5000130;5722659
5000130;5722658
5000130;5722656
5000130;5722654
5000130;5722653
5000130;5722652
5000130;5722651
5000130;5722649
5000130;5722648
5000130;5722645
5000130;5722644
5000130;5722642
5000130;5722640
5000130;5722639
5000130;5722637
5000130;5722634
5000130;5722631
5000130;5722630
5000130;5722628
5000130;5722626
5000130;5722625
5000130;5722624
5000130;5722622
5000130;5722621
5000130;5722620
5000130;5722619
5000130;5722618
5000130;5722617
5000130;5722614
5000130;5722612
5000130;5722611
5000130;5722610
5000130;5722607
5000130;5722606
5000130;5722605
5000130;5722604
5000130;5722602
5000130;5722601
5000130;5722600
5000130;5722597
5000130;5722596
5000130;5722595
5000130;5722594
5000130;5722593
5000130;5722591
5000130;5722590
5000130;5722583
5000130;5722582
5000130;5722581
5000130;5722580
5000130;5722579
5000130;5722578
5000130;5722572
5000130;5722571
5000130;5722570
5000130;5722568
5000130;5722567
5000130;5722566
5000130;5722565
5000130;5722564
5000130;5722563
5000130;5721652
5000130;5721648
5000130;5721646
5000130;5721639
5000130;5721638
5000130;5721637
5000130;5721635
5000130;5721633
5000130;5721627
5000130;5721619
5000130;5721617
5000130;5721613
5000130;5721602
5000130;5721598
5000130;5721588
5000130;5721576
5000130;5721571
5000130;5721569
5000130;5721564
5000130;5721013
5000130;5720652
5000130;5720646
5000130;5720644
5000130;5720639
5000130;5720627
5000130;5720610
5000130;5720579
5000130;5720568
5000130;5719653
5000130;5719645
5000130;5719641
5000130;5719609
5000130;5719599
5000130;5718617
5000130;5718615
5000220;5721640
5000220;5721636
5000220;5721632
5000220;5721630
5000220;5721626
5000220;5721625
5000220;5721622
5000220;5721619
5000220;5721615
5000220;5721614
5000220;5721610
5000220;5721608
5000220;5721606
5000220;5721602
5000220;5721598
5000220;5721595
5000220;5721594
5000220;5721592
5000220;5721590
5000220;5721588
5000220;5721587
5000220;5721581
5000220;5721577
5000220;5721572
5000220;5721569
5000220;5721568
5000220;5721566
5000220;5721564
5000220;5720667
5000220;5720638
5000220;5720621
5000220;5720615
5000220;5720606
5000220;5720605
5000220;5720599
5000220;5720593
5000220;5720579
5000220;5720575
5000220;5720573
5000220;5720570
5000220;5720566
5000220;5720565
5000220;5720563
5000220;5720014
5000220;5719657
5000220;5719648
5000220;5719645
5000220;5719644
5000220;5719638
5000220;5719636
5000220;5719629
5000220;5719628
5000220;5719627
5000220;5719626
5000220;5719621
5000220;5719618
5000220;5719616
5000220;5719614
5000220;5719613
5000220;5719607
5000220;5719596
5000220;5719595
5000220;5719590
5000220;5719580
5000220;5719577
5000220;5719573
5000220;5719570
5000220;5719568
5000220;5719567
5000220;5719564
5000220;5718668
5000220;5718650
5000220;5718643
5000220;5718615
5000220;5718597
5000220;5718586
5000220;5718564
5000220;5717646
5000220;5716646
5000220;5716594
5000340;5723375
5000340;5722686
5000340;5722685
5000340;5722684
5000340;5722683
5000340;5722680
5000340;5722679
5000340;5722677
5000340;5722675
5000340;5722674
5000340;5722673
5000340;5722671
5000340;5722668
5000340;5722667
5000340;5722665
5000340;5722662
5000340;5722661
5000340;5722660
5000340;5722659
5000340;5722658
5000340;5722656
5000340;5722654
5000340;5722653
5000340;5722652
5000340;5722651
5000340;5722649
5000340;5722648
5000340;5722645
5000340;5722644
5000340;5722642
5000340;5722641
5000340;5722640
5000340;5722639
5000340;5722637
5000340;5722635
5000340;5722634
5000340;5722632
5000340;5722631
5000340;5722630
5000340;5722628
5000340;5722627
5000340;5722626
5000340;5722625
5000340;5722624
5000340;5722622
5000340;5722621
5000340;5722620
5000340;5722619
5000340;5722618
5000340;5722617
5000340;5722614
5000340;5722612
5000340;5722611
5000340;5722610
5000340;5722607
5000340;5722606
5000340;5722605
5000340;5722604
5000340;5722602
5000340;5722601
5000340;5722600
5000340;5722597
5000340;5722596
5000340;5722595
5000340;5722594
5000340;5722593
5000340;5722592
5000340;5722591
5000340;5722590
5000340;5722587
5000340;5722583
5000340;5722582
5000340;5722580
5000340;5722579
5000340;5722578
5000340;5722576
5000340;5722572
5000340;5722571
5000340;5722570
5000340;5722568
5000340;5722566
5000340;5722565
5000340;5722564
5000340;5722563
5000340;5721635
5000340;5721615
5000340;5720621
5000340;5720573
5000340;5718617
5000350;5722569
5000350;5721654
5000350;5721649
5000350;5721648
5000350;5721637
5000350;5721636
5000350;5721633
5000350;5721625
5000350;5721617
5000350;5721607
5000350;5721604
5000350;5721598
5000350;5721595
5000350;5721594
5000350;5721590
5000350;5721589
5000350;5721587
5000350;5721585
5000350;5721576
5000350;5721575
5000350;5721571
5000350;5721569
5000350;5721564
5000350;5721013
5000350;5720646
5000350;5720644
5000350;5720628
5000350;5720627
5000350;5720621
5000350;5720614
5000350;5720610
5000350;5720594
5000350;5719653
5000350;5719650
5000350;5719638
5000350;5719618
5000350;5719609
5000350;5719579
5000350;5719572
5000350;5718668
5000420;5718617
5000430;5722689
5000430;5722686
5000430;5722685
5000430;5722684
5000430;5722683
5000430;5722680
5000430;5722679
5000430;5722677
5000430;5722676
5000430;5722675
5000430;5722674
5000430;5722673
5000430;5722671
5000430;5722669
5000430;5722668
5000430;5722667
5000430;5722665
5000430;5722662
5000430;5722661
5000430;5722660
5000430;5722659
5000430;5722658
5000430;5722656
5000430;5722654
5000430;5722653
5000430;5722652
5000430;5722651
5000430;5722649
5000430;5722648
5000430;5722645
5000430;5722644
5000430;5722642
5000430;5722641
5000430;5722640
5000430;5722639
5000430;5722637
5000430;5722635
5000430;5722634
5000430;5722632
5000430;5722630
5000430;5722628
5000430;5722627
5000430;5722626
5000430;5722625
5000430;5722624
5000430;5722623
5000430;5722622
5000430;5722621
5000430;5722620
5000430;5722619
5000430;5722618
5000430;5722617
5000430;5722614
5000430;5722612
5000430;5722611
5000430;5722610
5000430;5722608
5000430;5722607
5000430;5722606
5000430;5722605
5000430;5722604
5000430;5722602
5000430;5722600
5000430;5722597
5000430;5722596
5000430;5722595
5000430;5722594
5000430;5722593
5000430;5722592
5000430;5722591
5000430;5722590
5000430;5722587
5000430;5722583
5000430;5722582
5000430;5722580
5000430;5722579
5000430;5722578
5000430;5722576
5000430;5722572
5000430;5722571
5000430;5722570
5000430;5722568
5000430;5722567
5000430;5722566
5000430;5722565
5000430;5722564
5000430;5722563
5000430;5721659
5000430;5721637
5000430;5721635
5000430;5721633
5000430;5721615
5000430;5721013
5000430;5720621
5000430;5720573
5000440;5722962
5000440;5722689
5000440;5722686
5000440;5722685
5000440;5722684
5000440;5722683
5000440;5722682
5000440;5722680
5000440;5722679
5000440;5722677
5000440;5722676
5000440;5722675
5000440;5722674
5000440;5722673
5000440;5722671
5000440;5722668
5000440;5722667
5000440;5722665
5000440;5722662
5000440;5722661
5000440;5722660
5000440;5722659
5000440;5722658
5000440;5722656
5000440;5722654
5000440;5722653
5000440;5722652
5000440;5722651
5000440;5722649
5000440;5722648
5000440;5722645
5000440;5722644
5000440;5722642
5000440;5722641
5000440;5722640
5000440;5722639
5000440;5722637
5000440;5722635
5000440;5722634
5000440;5722632
5000440;5722631
5000440;5722630
5000440;5722628
5000440;5722627
5000440;5722626
5000440;5722625
5000440;5722624
5000440;5722623
5000440;5722622
5000440;5722621
5000440;5722620
5000440;5722619
5000440;5722618
5000440;5722617
5000440;5722614
5000440;5722612
5000440;5722611
5000440;5722610
5000440;5722608
5000440;5722607
5000440;5722606
5000440;5722605
5000440;5722604
5000440;5722602
5000440;5722601
5000440;5722600
5000440;5722597
5000440;5722596
5000440;5722595
5000440;5722594
5000440;5722593
5000440;5722592
5000440;5722591
5000440;5722590
5000440;5722587
5000440;5722583
5000440;5722582
5000440;5722580
5000440;5722579
5000440;5722578
5000440;5722576
5000440;5722572
5000440;5722571
5000440;5722570
5000440;5722568
5000440;5722567
5000440;5722566
5000440;5722565
5000440;5722564
5000440;5722563
5000440;5721635
5000440;5721615
5000440;5721585
5000440;5720621
5000510;5722962
5000510;5722689
5000510;5722686
5000510;5722685
5000510;5722684
5000510;5722683
5000510;5722682
5000510;5722680
5000510;5722679
5000510;5722677
5000510;5722676
5000510;5722675
5000510;5722674
5000510;5722673
5000510;5722671
5000510;5722669
5000510;5722668
5000510;5722667
5000510;5722665
5000510;5722662
5000510;5722661
5000510;5722660
5000510;5722659
5000510;5722658
5000510;5722656
5000510;5722654
5000510;5722653
5000510;5722652
5000510;5722651
5000510;5722649
5000510;5722648
5000510;5722645
5000510;5722644
5000510;5722642
5000510;5722641
5000510;5722640
5000510;5722639
5000510;5722637
5000510;5722635
5000510;5722634
5000510;5722630
5000510;5722628
5000510;5722627
5000510;5722626
5000510;5722625
5000510;5722624
5000510;5722623
5000510;5722622
5000510;5722621
5000510;5722620
5000510;5722619
5000510;5722618
5000510;5722617
5000510;5722614
5000510;5722612
5000510;5722611
5000510;5722610
5000510;5722608
5000510;5722607
5000510;5722606
5000510;5722605
5000510;5722604
5000510;5722602
5000510;5722600
5000510;5722597
5000510;5722596
5000510;5722595
5000510;5722594
5000510;5722593
5000510;5722592
5000510;5722591
5000510;5722590
5000510;5722587
5000510;5722582
5000510;5722580
5000510;5722579
5000510;5722578
5000510;5722576
5000510;5722572
5000510;5722571
5000510;5722570
5000510;5722569
5000510;5722568
5000510;5722566
5000510;5722565
5000510;5722564
5000510;5722563
5000510;5721659
5000510;5721635
5000510;5721633
5000510;5721571
5000510;5721564
5000510;5720646
5000510;5719633
5000510;5719581
5000610;5721652
5000610;5721649
5000610;5721648
5000610;5721637
5000610;5721627
5000610;5721619
5000610;5721617
5000610;5721614
5000610;5721613
5000610;5721598
5000610;5721590
5000610;5721588
5000610;5721585
5000610;5721578
5000610;5721576
5000610;5721571
5000610;5721569
5000610;5721564
5000610;5720638
5000610;5720627
5000610;5719650
5000610;5719645
5000610;5719633
5000610;5719579
5000720;5718571
5000730;5722963
5000730;5722682
5000730;5722569
5000730;5721659
5000730;5721657
5000730;5721654
5000730;5721652
5000730;5721648
5000730;5721646
5000730;5721645
5000730;5721644
5000730;5721642
5000730;5721640
5000730;5721636
5000730;5721632
5000730;5721626
5000730;5721625
5000730;5721622
5000730;5721618
5000730;5721614
5000730;5721613
5000730;5721612
5000730;5721610
5000730;5721608
5000730;5721607
5000730;5721604
5000730;5721602
5000730;5721601
5000730;5721598
5000730;5721595
5000730;5721593
5000730;5721592
5000730;5721589
5000730;5721588
5000730;5721584
5000730;5721582
5000730;5721581
5000730;5721579
5000730;5721578
5000730;5721577
5000730;5721575
5000730;5721573
5000730;5721572
5000730;5721571
5000730;5721570
5000730;5721567
5000730;5721566
5000730;5720655
5000730;5720652
5000730;5720638
5000730;5720621
5000730;5720615
5000730;5720610
5000730;5720594
5000730;5720593
5000730;5720591
5000730;5720585
5000730;5720583
5000730;5720573
5000730;5720566
5000730;5719653
5000730;5719650
5000730;5719645
5000730;5719641
5000730;5719638
5000730;5719581
5000730;5719579
5000910;5722682
5000910;5721657
5000910;5721652
5000910;5721646
5000910;5721645
5000910;5721644
5000910;5721638
5000910;5721633
5000910;5721627
5000910;5721625
5000910;5721617
5000910;5721615
5000910;5721614
5000910;5721613
5000910;5721604
5000910;5721602
5000910;5721598
5000910;5721590
5000910;5721589
5000910;5721588
5000910;5721585
5000910;5721577
5000910;5721576
5000910;5721575
5000910;5721569
5000910;5721564
5000910;5720597
5000910;5720571
5000910;5719590
5000910;5714573
5001010;5720606
5001010;5720566
5001010;5719616
5001010;5719613
5001010;5719580
5001010;5719570
5001110;5722569
5001110;5721657
5001110;5721654
5001110;5721652
5001110;5721649
5001110;5721648
5001110;5721646
5001110;5721645
5001110;5721644
5001110;5721642
5001110;5721640
5001110;5721639
5001110;5721638
5001110;5721636
5001110;5721632
5001110;5721630
5001110;5721626
5001110;5721622
5001110;5721619
5001110;5721618
5001110;5721613
5001110;5721612
5001110;5721610
5001110;5721608
5001110;5721607
5001110;5721606
5001110;5721604
5001110;5721602
5001110;5721601
5001110;5721598
5001110;5721595
5001110;5721594
5001110;5721593
5001110;5721592
5001110;5721589
5001110;5721588
5001110;5721587
5001110;5721584
5001110;5721582
5001110;5721581
5001110;5721579
5001110;5721578
5001110;5721577
5001110;5721576
5001110;5721575
5001110;5721573
5001110;5721572
5001110;5721571
5001110;5721570
5001110;5721568
5001110;5721567
5001110;5721566
5001110;5720621
5001110;5720573
5001110;5720571
5001110;5719650
5001110;5719590
5001110;5718617
5001110;5718563
5001310;5722682
5001310;5722581
5001310;5721652
5001310;5721649
5001310;5721648
5001310;5721646
5001310;5721638
5001310;5721637
5001310;5721625
5001310;5721619
5001310;5721617
5001310;5721614
5001310;5721606
5001310;5721598
5001310;5721590
5001310;5721588
5001310;5721585
5001310;5721571
5001310;5721570
5001310;5721569
5001310;5721564
5001310;5720646
5001310;5720628
5001310;5720621
5001310;5720610
5001310;5719627
5001310;5719616
5001310;5719609
5001310;5718615
5001410;5722963
5001410;5721657
5001410;5721654
5001410;5721652
5001410;5721648
5001410;5721645
5001410;5721644
5001410;5721642
5001410;5721640
5001410;5721637
5001410;5721636
5001410;5721632
5001410;5721630
5001410;5721626
5001410;5721622
5001410;5721619
5001410;5721614
5001410;5721613
5001410;5721612
5001410;5721610
5001410;5721608
5001410;5721607
5001410;5721602
5001410;5721601
5001410;5721598
5001410;5721595
5001410;5721594
5001410;5721593
5001410;5721592
5001410;5721589
5001410;5721588
5001410;5721587
5001410;5721582
5001410;5721581
5001410;5721579
5001410;5721578
5001410;5721577
5001410;5721576
5001410;5721573
5001410;5721572
5001410;5721571
5001410;5721570
5001410;5721568
5001410;5721567
5001410;5721566
5001410;5720963
5001410;5720594
5001410;5719650
5001410;5719581
5001410;5718617
5001410;5718615
5001610;5721013
